"GAME_ID","GAME_DATE","SEASON_TYPE","MATCHUP","HOME_TEAM","AWAY_TEAM","nh","j3210","j45"
"0020800077",2008-11-07,"Regular Season","MEM @ GSW","Golden State Warriors","Memphis Grizzlies","j3210",754,152
"0020800077",2008-11-07,"Regular Season","MEM @ GSW","Golden State Warriors","Memphis Grizzlies","j45",710,1264
"0020800078",2008-11-07,"Regular Season","HOU @ LAC","Los Angeles Clippers","Houston Rockets","j3210",1258,121
"0020800078",2008-11-07,"Regular Season","HOU @ LAC","Los Angeles Clippers","Houston Rockets","j45",468,1033
"0020800079",2008-11-08,"Regular Season","NJN @ IND","Indiana Pacers","New Jersey Nets","j3210",1085,4
"0020800079",2008-11-08,"Regular Season","NJN @ IND","Indiana Pacers","New Jersey Nets","j45",592,1199
"0020800081",2008-11-08,"Regular Season","MIA @ NOH","New Orleans Hornets","Miami Heat","j3210",569,676
"0020800081",2008-11-08,"Regular Season","MIA @ NOH","New Orleans Hornets","Miami Heat","j45",141,1494
"0020800084",2008-11-08,"Regular Season","MIN @ POR","Portland Trail Blazers","Minnesota Timberwolves","j3210",1219,254
"0020800084",2008-11-08,"Regular Season","MIN @ POR","Portland Trail Blazers","Minnesota Timberwolves","j45",346,1061
"0020800085",2008-11-09,"Regular Season","TOR @ CHA","Charlotte Bobcats","Toronto Raptors","j3210",754,403
"0020800085",2008-11-09,"Regular Season","TOR @ CHA","Charlotte Bobcats","Toronto Raptors","j45",336,1387
"0020800086",2008-11-09,"Regular Season","UTA @ NYK","New York Knicks","Utah Jazz","j3210",1295,27
"0020800086",2008-11-09,"Regular Season","UTA @ NYK","New York Knicks","Utah Jazz","j45",967,591
"0020800087",2008-11-09,"Regular Season","DAL @ LAC","Los Angeles Clippers","Dallas Mavericks","j3210",1338,164
"0020800087",2008-11-09,"Regular Season","DAL @ LAC","Los Angeles Clippers","Dallas Mavericks","j45",379,999
"0020800089",2008-11-09,"Regular Season","ATL @ OKC","Oklahoma City Thunder","Atlanta Hawks","j3210",1228,647
"0020800089",2008-11-09,"Regular Season","ATL @ OKC","Oklahoma City Thunder","Atlanta Hawks","j45",26,979
"0020800090",2008-11-09,"Regular Season","MEM @ DEN","Denver Nuggets","Memphis Grizzlies","j3210",939,407
"0020800090",2008-11-09,"Regular Season","MEM @ DEN","Denver Nuggets","Memphis Grizzlies","j45",539,995
"0020800091",2008-11-09,"Regular Season","GSW @ SAC","Sacramento Kings","Golden State Warriors","j3210",1177,300
"0020800091",2008-11-09,"Regular Season","GSW @ SAC","Sacramento Kings","Golden State Warriors","j45",380,1023
"0020800093",2008-11-10,"Regular Season","OKC @ IND","Indiana Pacers","Oklahoma City Thunder","j3210",879,747
"0020800093",2008-11-10,"Regular Season","OKC @ IND","Indiana Pacers","Oklahoma City Thunder","j45",632,622
"0020800094",2008-11-10,"Regular Season","POR @ ORL","Orlando Magic","Portland Trail Blazers","j3210",1208,219
"0020800094",2008-11-10,"Regular Season","POR @ ORL","Orlando Magic","Portland Trail Blazers","j45",679,774
"0020800095",2008-11-10,"Regular Season","TOR @ BOS","Boston Celtics","Toronto Raptors","j3210",838,169
"0020800095",2008-11-10,"Regular Season","TOR @ BOS","Boston Celtics","Toronto Raptors","j45",400,1473
"0020800096",2008-11-10,"Regular Season","NJN @ MIA","Miami Heat","New Jersey Nets","j3210",856,643
"0020800096",2008-11-10,"Regular Season","NJN @ MIA","Miami Heat","New Jersey Nets","j45",43,1338
"0020800097",2008-11-10,"Regular Season","MEM @ PHX","Phoenix Suns","Memphis Grizzlies","j3210",1127,212
"0020800097",2008-11-10,"Regular Season","MEM @ PHX","Phoenix Suns","Memphis Grizzlies","j45",271,1270
"0020800098",2008-11-11,"Regular Season","DEN @ CHA","Charlotte Bobcats","Denver Nuggets","j3210",1400,351
"0020800098",2008-11-11,"Regular Season","DEN @ CHA","Charlotte Bobcats","Denver Nuggets","j45",298,831
"0020800099",2008-11-11,"Regular Season","MIL @ CLE","Cleveland Cavaliers","Milwaukee Bucks","j3210",1440,307
"0020800099",2008-11-11,"Regular Season","MIL @ CLE","Cleveland Cavaliers","Milwaukee Bucks","j45",311,822
"0020800100",2008-11-11,"Regular Season","UTA @ PHI","Philadelphia 76ers","Utah Jazz","j3210",1406,41
"0020800100",2008-11-11,"Regular Season","UTA @ PHI","Philadelphia 76ers","Utah Jazz","j45",573,860
"0020800101",2008-11-11,"Regular Season","ATL @ CHI","Chicago Bulls","Atlanta Hawks","j3210",765,887
"0020800101",2008-11-11,"Regular Season","ATL @ CHI","Chicago Bulls","Atlanta Hawks","j45",71,1157
"0020800102",2008-11-11,"Regular Season","LAL @ DAL","Dallas Mavericks","Los Angeles Lakers","j3210",1483,687
"0020800102",2008-11-11,"Regular Season","LAL @ DAL","Dallas Mavericks","Los Angeles Lakers","j45",86,624
"0020800103",2008-11-11,"Regular Season","NYK @ SAS","San Antonio Spurs","New York Knicks","j3210",1298,197
"0020800103",2008-11-11,"Regular Season","NYK @ SAS","San Antonio Spurs","New York Knicks","j45",505,880
"0020800104",2008-11-11,"Regular Season","DET @ SAC","Sacramento Kings","Detroit Pistons","j3210",673,131
"0020800104",2008-11-11,"Regular Season","DET @ SAC","Sacramento Kings","Detroit Pistons","j45",692,1384
"0020800105",2008-11-11,"Regular Season","MIN @ GSW","Golden State Warriors","Minnesota Timberwolves","j3210",1027,92
"0020800105",2008-11-11,"Regular Season","MIN @ GSW","Golden State Warriors","Minnesota Timberwolves","j45",805,956
"0020800106",2008-11-12,"Regular Season","PHI @ TOR","Toronto Raptors","Philadelphia 76ers","j3210",1556,117
"0020800106",2008-11-12,"Regular Season","PHI @ TOR","Toronto Raptors","Philadelphia 76ers","j45",453,754
"0020800107",2008-11-12,"Regular Season","ATL @ BOS","Boston Celtics","Atlanta Hawks","j3210",1003,7
"0020800107",2008-11-12,"Regular Season","ATL @ BOS","Boston Celtics","Atlanta Hawks","j45",702,1168
"0020800108",2008-11-12,"Regular Season","POR @ MIA","Miami Heat","Portland Trail Blazers","j3210",1306,462
"0020800108",2008-11-12,"Regular Season","POR @ MIA","Miami Heat","Portland Trail Blazers","j45",280,832
"0020800109",2008-11-12,"Regular Season","IND @ NJN","New Jersey Nets","Indiana Pacers","j3210",1155,501
"0020800109",2008-11-12,"Regular Season","IND @ NJN","New Jersey Nets","Indiana Pacers","j45",479,745
"0020800110",2008-11-12,"Regular Season","NYK @ MEM","Memphis Grizzlies","New York Knicks","j3210",1344,384
"0020800110",2008-11-12,"Regular Season","NYK @ MEM","Memphis Grizzlies","New York Knicks","j45",184,968
"0020800111",2008-11-12,"Regular Season","SAS @ MIL","Milwaukee Bucks","San Antonio Spurs","j3210",742,143
"0020800111",2008-11-12,"Regular Season","SAS @ MIL","Milwaukee Bucks","San Antonio Spurs","j45",1221,774
"0020800112",2008-11-12,"Regular Season","LAL @ NOH","New Orleans Hornets","Los Angeles Lakers","j3210",1151,34
"0020800112",2008-11-12,"Regular Season","LAL @ NOH","New Orleans Hornets","Los Angeles Lakers","j45",444,1251
"0020800113",2008-11-12,"Regular Season","ORL @ OKC","Oklahoma City Thunder","Orlando Magic","j3210",1004,646
"0020800113",2008-11-12,"Regular Season","ORL @ OKC","Oklahoma City Thunder","Orlando Magic","j45",388,842
"0020800115",2008-11-12,"Regular Season","SAC @ LAC","Los Angeles Clippers","Sacramento Kings","j3210",811,667
"0020800115",2008-11-12,"Regular Season","SAC @ LAC","Los Angeles Clippers","Sacramento Kings","j45",59,1343
"0020800116",2008-11-12,"Regular Season","HOU @ PHX","Phoenix Suns","Houston Rockets","j3210",1405,1
"0020800116",2008-11-12,"Regular Season","HOU @ PHX","Phoenix Suns","Houston Rockets","j45",132,1342
"0020800117",2008-11-13,"Regular Season","DEN @ CLE","Cleveland Cavaliers","Denver Nuggets","j3210",1264,298
"0020800117",2008-11-13,"Regular Season","DEN @ CLE","Cleveland Cavaliers","Denver Nuggets","j45",46,1272
